sentence1,sentence2,score
Seorang wanita sedang menggoreng sesuatu di dalam wajan.,Seorang pria sedang memainkan gitarnya.,0.0
Seorang pria memasukkan bumbu ke dalam semangkuk air.,Pria itu menambahkan bumbu ke dalam air di dalam mangkuk.,1.0
Seorang wanita tua sedang menuangkan minyak ke dalam wajan.,Seorang pria yang diikat sedang dimasukkan ke dalam air.,0.0
Seorang wanita sedang memotong bawang.,Seorang wanita sedang mengiris sebagian bawang bombai.,0.64
Wanita itu mengambil kanguru tersebut.,Seorang wanita menggendong seekor kanguru.,0.7
Seekor anjing menggigit kaleng.,Seekor anjing membuka kaleng makanan.,0.35
Seorang wanita sedang memotong-motong ikan.,Seorang pria menangkap ikan.,0.25
Seorang pria sedang memotong rumput.,Seorang pria sedang menghancurkan beton.,0.17
Seekor kucing sedang menonton TV.,Seorang pria sedang mengambil cuti.,0.0
Anak laki-laki itu terjebak di pintu rumah anjing.,Seorang anak terjebak di dalam rumah anjing.,0.75
Orang-orang menceburkan diri ke kolam renang.,Seorang pria jatuh ke dalam kolam.,0.55
Seorang wanita berenang di bawah air.,Seorang wanita sedang berenang.,0.76
Seorang pria sedang bermain gitar.,Seorang wanita sedang menari.,0.04
Sebuah pesawat terbang di udara.,Sebuah pesawat South African Airways terbang di langit biru.,0.68
Seekor beruang sedang berlari dari dua ekor anjing.,Seekor beruang sedang melawan serigala.,0.28
Seorang wanita sedang beristirahat di sebuah rakit apung.,Seorang wanita bersantai di dalam ban dalam.,0.76
Seorang pria sekarat di ruang operasi.,Seorang pria mencium seorang wanita di atas panggung.,0.08
Seorang pria sedang memegang daun.,Seorang wanita sedang menonton televisi.,0.0
Seseorang sedang menunggang kuda.,Seorang wanita sedang mengiris kentang.,0.0
Seorang wanita sedang mengiris gurita.,Seorang pria sedang bermain gitar.,0.0
Seorang pria sedang memecahkan kendi air.,Seorang wanita sedang mengupas bawang putih.,0.04
Seorang pria sedang bermain gitar.,Seorang wanita sedang memotong sayuran.,0.0
Seorang gadis sedang makan kue mangkuk.,Seorang pria sedang mengiris mentimun.,0.0
Gadis kecil itu bermain di atas rumput dengan seekor anjing dan sebuah bola.,Seorang bayi bermain dengan seekor anjing dan bola.,0.76
Orang-orang menaiki dan mendayung rakit.,Empat orang mengapung di atas rakit.,0.45
Wanita itu memotong sebuah kentang.,Seorang pria sedang memotong kentang.,0.48
Rudal itu meledak.,Sebuah roket meledak.,0.64
Seekor anjing sedang bermain di salju.,Seekor anjing sedang mengais-ngais lalat di karpet di depannya.,0.32
Seorang wanita sedang menari dengan wanita lain.,Seorang wanita sedang mencabik-cabik ayam.,0.08
Seorang anak laki-laki sedang mendorong sebuah mobil van.,Seseorang sedang mengiris tomat.,0.0
Seorang anak laki-laki sedang melakukan beberapa langkah tarian.,Seorang anak laki-laki sedang menuangkan sesuatu dari sebuah kendi.,0.08
Seorang wanita sedang membuka soda dan meminumnya.,Seorang wanita sedang menunggangi seekor gajah.,0.12
Seorang pria sedang merakit komponen speaker.,Seorang pria sedang bermain gitar.,0.2
Anjing itu berjalan di sepanjang tepi kolam renang.,Seekor anjing sedang berjalan di sepanjang kolam.,0.92
Mentega sedang dimasukkan ke dalam mangkuk.,Seorang pria memotong mentega ke dalam mangkuk.,0.85
Rakun sedang makan.,Seorang pria sedang makan.,0.3
Seseorang jatuh dari kuda.,Seorang pria terjatuh dari kuda.,0.7
Seorang wanita mengupas sebuah apel.,Seorang pria melakukan wheelie dengan sepeda motor.,0.0
Seorang pria sedang mengikuti kelas matematika.,Seorang pria sedang membilas steak.,0.0
Hewan-hewan sedang bermain di dalam air.,Dua orang pria sedang bermain pingpong.,0.0
Seorang pria sedang menunggang kuda dan melompati rintangan.,Seorang pria sedang menendang bola sepak.,0.07
Seseorang sedang melakukan trik pensil dengan tangannya.,Seseorang sedang mengiris wortel menjadi dua.,0.07
Orang tersebut menyalakan kamera dengan api.,Seseorang sedang meledakkan kamera.,0.67
Pria itu sedang mengiris selotip dari kotaknya.,Seorang pria sedang membelah sebuah kotak.,0.87
Seorang pria sedang memancing di sungai.,Seorang pria bernyanyi sambil berjalan di trotoar.,0.16
Seorang pria sedang mengendarai sepeda.,Seorang wanita sedang menari di jalan.,0.04
Seorang pria sedang melakukan push-up.,Seorang wanita sedang memotong gurita.,0.0
Seorang pria sedang bermain gitar.,Seorang wanita sedang mengiris daging babi.,0.0
Anak laki-laki itu bernyanyi dan bermain gitar.,Seorang bayi sedang bermain gitar.,0.56
Seorang wanita sedang membedaki wajahnya.,Wanita itu mengetuk-ngetukkan jari-jarinya di atas meja.,0.16
Seorang wanita sedang mengupas kentang.,Seekor singa sedang berjalan-jalan.,0.0
Seorang wanita sedang menembakkan senapan.,Seorang pria sedang melakukan akrobat.,0.05
Seorang wanita meletakkan karangan bunga di atas bahu seorang pria.,Seorang pria menuangkan air ke atas kepala pilot.,0.1
Seorang wanita tua sedang berjabat tangan dengan seorang pria.,Seorang pria dan wanita berjabat tangan.,0.75
Wanita itu sedang bermain ski air.,Seorang wanita sedang bangun tidur di atas danau.,0.35
Pohon-pohon membungkuk dalam badai.,Pohon-pohon dihantam angin yang sangat kencang.,0.53
Seorang pria dan wanita sedang mengendarai mobil.,Seorang wanita sedang menggoreng udang.,0.08
Seorang pria sedang memindahkan dahan pohon.,Wanita itu sedang memainkan biola.,0.0
Seorang pria memainkan piano.,Seorang wanita sedang memainkan biola.,0.2
Seseorang menuangkan minyak ke atas wajan.,Seseorang sedang memotong-motong bawang.,0.16
Hewan itu sedang makan.,Seorang wanita sedang menari.,0.0
Wanita itu sedang berjalan-jalan dengan anjingnya.,Seorang wanita mengajak anjingnya berjalan-jalan di jalan.,0.8
Sekelompok orang bernyanyi.,Beberapa orang sedang bernyanyi.,1.0
Kucing sedang minum susu.,Seekor kucing sedang menjilati sepiring susu.,0.88
Seorang gadis sedang membuat kelopak mata.,Seorang wanita sedang mengaplikasikan eyeshadow.,0.4
Dua orang berkelahi.,Dua orang pria sedang bertarung menggunakan suatu bentuk seni bela diri.,0.56
Perwira militer itu membentak para rekrutan.,Seorang petugas sedang berbicara dengan para rekrutan.,0.5
Pria itu sedang memasukkan ayam ke dalam wadah.,Seorang pria sedang memasukkan makanan ke dalam kotak.,0.5
Seorang pria sedang mengikat mesin stenografi.,pria itu menggunakan stenograf.,0.45
Seorang wanita sedang menambahkan pasta ke dalam panci berisi air.,Seorang wanita sedang membuat mie.,0.72
Seorang wanita berbaring di atas selimut di atas batu dan membaca buku.,Seorang wanita yang sedang duduk sedang menyanyikan sebuah lagu dan juga memainkan gitar.,0.24
Dua ekor anak anjing sedang bermain satu sama lain.,Beberapa pria sedang bermain sepak bola.,0.04
Seorang pria sedang berlari di lapangan.,Seorang pria memanjat tali.,0.2
Seorang pria sedang memeluk seseorang.,Seorang pria sedang mengambil gambar.,0.08
Seseorang sedang menuangkan bahan makanan ke dalam panci.,Seorang pria memasukkan sayuran ke dalam panci.,0.56
Sepasang suami istri sedang berjalan kaki.,Beberapa pria sedang menggergaji.,0.0
Seseorang sedang bermain gitar.,Pria itu memainkan gitarnya.,0.6
Seseorang sedang menambahkan makanan ke dalam panci.,Seorang wanita memasukkan nasi ke dalam panci.,0.6
Sekelompok penguin sedang berjalan.,Sejumlah besar penguin sedang menuju ke lautan.,0.56
Seorang pria sedang bermain gitar.,Seseorang sedang memegang sanggul.,0.0
Seekor anjing sedang melompat di atas trampolin.,Seorang anak laki-laki sedang bermain gitar.,0.0
Seorang pria sedang menggoyangkan sebuah wadah di atas wastafel dapur.,Seorang pria sedang mengosongkan wadah plastik.,0.44
Seorang pria sedang berjalan dengan seekor kuda.,Seorang pria sedang menuntun seekor kuda dengan tali kekang.,0.75
Kertas sedang dipotong dengan gunting.,Selembar kertas sedang dipotong.,0.8
Seseorang sedang mengupas udang.,Wanita itu mengupas udang.,0.7
Seorang pria sedang bermain gitar.,Seorang pria mencoba membaca koran.,0.16
Seorang pria merapikan tempat tidur di sebuah hotel.,Seorang pria sedang menggendong seekor binatang.,0.16
Anjing itu menarik ekor dan kemudian kakinya.,Seekor monyet menarik ekor anjing.,0.35
Seorang wanita mengocok dua butir telur di dalam mangkuk.,Seseorang sedang mencampur bahan-bahan dalam mangkuk.,0.6
Seorang pria sedang lompat tali di luar.,Seorang wanita sedang mengiris mentimun.,0.0
Seseorang sedang mengiris bawang.,Seekor hamster sedang bernyanyi.,0.0
Seorang wanita memegang seekor kanguru.,Seorang pria bertopi menyanyikan sebuah lagu.,0.0
Para pemain sepak bola sedang menendang bola ke dalam gawang.,Seorang pemain sepak bola mencetak gol.,0.76
Seorang wanita sedang memasak sesuatu.,Seorang wanita sedang menuangkan bahan makanan ke dalam penggorengan.,0.64
Seorang wanita sedang berenang di pantai.,Seorang wanita bermain-main di ombak lautan.,0.64
Seorang pria menggendong pria lain.,Seorang pria menyemprot pria lain dengan air dari selang.,0.16
Seorang wanita sedang menaruh pasta ke dalam piring.,Seorang wanita sedang menarik semacam cairan lengket dari sebuah mangkuk.,0.3
Seorang pria memegang dan berbicara tentang kaos You Tube berwarna abu-abu.,Seorang pria menunjukkan sebuah kaos.,0.55
Seseorang menuangkan minyak zaitun ke dalam semangkuk irisan tomat.,Pria itu menuangkan minyak ke atas irisan tomat.,0.75
Seorang pria sedang bermain gitar.,Pria itu memainkan gitarnya dengan seorang teman.,0.64
Seseorang sedang merebus okra di dalam panci.,Seseorang menuangkan minyak zaitun ke dalam semangkuk irisan tomat.,0.16
Seseorang sedang mengupas kentang.,Seekor kucing sedang menjilati botol kecil.,0.0
Seekor kucing melompat ke dalam kotak.,Seorang pemuda sedang berbicara dengan sehelai daun.,0.0
Wanita itu sedang membumbui minyak.,Seorang wanita sedang menuangkan bahan makanan ke dalam mangkuk.,0.28
Seekor kucing meluncur terbalik di bawah sofa.,Seekor kucing sedang merangkak di bawah perabot di atas punggungnya.,0.64
Seorang wanita menari sementara seorang pria memainkan keyboard.,Seorang wanita sedang menari di atas panggung.,0.44
Seorang koki sedang membersihkan semangkuk sup.,Seorang pria sedang menyeka pinggiran mangkuk.,0.51
Sebuah ledakan menggelegar di padang pasir.,Senjata nuklir meledak di gurun pasir.,0.68
Seorang wanita mengiris lemon.,Seorang pria sedang berbicara ke mikrofon.,0.0
Seorang pria yang kelebihan berat badan sedang melakukan lompat tali.,Seorang pria muda sedang menari.,0.16
Wanita itu memecahkan dua butir telur mentah.,Wanita itu sedang memecahkan telur ke dalam mangkuk.,0.64
Seorang pria mengasah pensil dengan menggunakan pisau.,Seorang wanita sedang menari di tengah hujan.,0.0
Mainan plastik mengambang di dalam air.,Para wanita sedang melakukan tarian.,0.0
Kura-kura itu mengikuti ikan tersebut.,Seekor penyu sedang berburu ikan.,0.6
Wanita itu sedang membubuhkan perona mata.,Gadis itu menggunakan pensil mata pada kelopak matanya.,0.56
Seorang pria sedang mengikat sepatunya.,Seekor anjing sedang menaiki pundak pengendara sepeda.,0.0
Seorang wanita sedang mengiris daging dengan pisau.,Seorang pria sedang menyebarkan adonan.,0.08
Seekor anjing sedang berlari di atas tanah.,Seorang anak perempuan sedang mengetuk-ngetuk kuku jarinya.,0.0
Seorang pria sedang mengelus-elus seekor anjing yang diikat.,Seorang pria menunjukkan anjingnya ke kamera.,0.2
"Seorang wanita sedang berjalan di tanah terbuka dengan seekor anjing peliharaannya
sementara beberapa anjing lainnya mengikuti mereka.",Seorang pria sedang berjalan dengan beberapa ekor anjing.,0.4
Seorang wanita sedang mencincang bawang putih.,Seseorang sedang membersihkan disk.,0.0
Dua tim sedang bermain sepak bola.,Tim yang berbeda sedang bermain sepak bola di lapangan.,0.5
Makhluk seperti tikus sedang mengendus-endus.,Seekor binatang sedang berjalan di atas tanah.,0.4
Dua orang pegulat Sumo sedang bertarung satu sama lain.,Seorang pria mengendarai mainan air di dalam air.,0.0
Seorang pria berbaring di tanah dan membidikkan senapan.,Seorang pria sedang mengoleskan mentega di atas tortilla.,0.0
Sepasang suami-istri sedang berlari menuju lautan.,"Seorang pria dan wanita sedang berlari bersama
berpegangan tangan.",0.56
Seorang wanita sedang memotong telur yang keras.,Seseorang sedang memotong telur rebus menjadi beberapa bagian.,0.71
Dua robot berbagi ciuman.,Robot pria dan wanita sedang berciuman.,0.76
Seekor kucing mencoba menyentuh seekor anjing.,Kucing menggoda anjing dengan menyentuh kepalanya.,0.65
Badak merumput di atas rumput.,Seekor badak sedang merumput di padang rumput.,0.8
Pria itu mengemudikan mobil merah kecilnya di tengah kemacetan.,Anjing itu berlari di dalam air di pantai.,0.0
Seorang pria sedang memotong roti.,Seorang pria sedang melakukan trik dengan bola sepak.,0.2
Seekor kucing dengan cepat menampar kepala seorang anak.,Seekor kucing dan anak laki-laki bermain bersama.,0.52
Seekor kucing sedang bermain di dalam kotak.,Anjing sedang bermain dengan pembersih lantai.,0.28
Pasangan itu menari di dalam gereja.,Beberapa tarian lambat.,0.64
Seorang pria sedang menepuk-nepuk mulut buaya.,Seseorang sedang membuang sayuran yang sudah dipotong-potong ke dalam panci di atas kompor.,0.0
Seseorang sedang memeriksa puding beras.,Seekor kuda sedang berlari.,0.0
Seorang wanita sedang mengaduk dua butir telur dalam mangkuk kaca.,Seorang gadis muda sedang bernyanyi di atas panggung.,0.0
Pria itu sedang memainkan drum.,Seorang pria menuangkan pembersih ke dalam wastafel.,0.0
Seorang pria sedang mengiris lada.,Seseorang sedang memotong paprika hijau yang besar.,0.76
Seorang wanita sedang berbicara dalam bahasa isyarat.,Seorang wanita membumbui beberapa makanan laut.,0.13
Seorang anak laki-laki merangkak masuk ke dalam rumah anjing.,Seekor kucing sedang bermain di lantai.,0.0
Gadis itu menerbangkan layang-layangnya sambil berlari mendaki bukit.,Seorang gadis kehilangan layang-layangnya.,0.45
Seorang wanita sedang memasukkan makanan ke dalam panci berisi air panas.,Seorang wanita sedang menggoreng daging.,0.25
Seekor monyet kecil berjalan melalui air.,Seekor monyet sedang menyeberangi rawa.,0.68
Seorang pria sedang mengendarai sepeda.,Seekor beruang panda sedang makan.,0.0
Seorang pemuda sedang bernyanyi dan bermain piano.,Pria itu sedang menulis surat.,0.04
Seorang anak laki-laki melepas kacamata hitamnya.,Seorang anak laki-laki berteriak.,0.1
Seorang gadis sedang bermain piano.,Seorang anak laki-laki sedang melakukan push up.,0.0
Wanita itu mengiris sebuah tomat.,Seseorang sedang memotong tomat.,0.8
Seseorang sedang memegang landak.,Sebuah bawang bombay sedang diiris.,0.0
Seorang wanita mengupas kentang.,Seorang wanita sedang memanggang nanas.,0.2
Seekor kucing sedang minum air.,Sebuah truk sedang menuruni bukit.,0.0
Seseorang sedang menaburkan garam dan merica pada sepotong daging babi.,Seorang anak muda sedang duduk di depan piano.,0.0
Pria itu duduk di kursinya dan menatap.,Gadis kecil itu sedang menguncir rambutnya menjadi ekor kuda.,0.0
Seorang wanita sedang memotong-motong kentang.,Seorang wanita memotong tahu menjadi potongan-potongan kecil.,0.36
Seorang bayi merangkak dengan gembira.,Seorang bayi bersin dan membuat bayi lain ketakutan.,0.24
Seseorang sedang menggoreng daging di dalam wajan.,Seorang pria sedang memotong sayuran.,0.12
Seorang pria sedang melihat ke luar jendela.,Seorang wanita sedang berenang di dalam air.,0.05
Seorang pria yang sedang duduk sedang memainkan gitar.,Seorang pria memainkan gitar akustik dan bernyanyi ke mikrofon.,0.65
Seorang wanita sedang mengiris bawang dengan pisau.,Seorang pria sedang menyiapkan hidangan.,0.25
Seorang penunggang kuda sedang berlari dan melompati kudanya.,Seorang wanita melompati rintangan di atas kuda.,0.8
Seorang anak laki-laki sedang memainkan papan kunci.,Seorang anak laki-laki sedang duduk di sebuah ruangan sambil bermain piano di bawah cahaya lampu.,0.65
Dua orang berkelahi.,Pria itu sedang berolahraga.,0.15
Seorang pria memainkan seruling kayu sementara beberapa pria lainnya memainkan drum bongo.,Seorang pria sedang memainkan seruling.,0.65
Seseorang sedang membelai seekor monyet.,Seorang pria memegang seekor kukang.,0.24
Dua ekor kelinci kartun sedang berciuman.,Seekor kelinci sedang mencium kelinci lainnya.,0.76
Landak mengunyah handuk tersebut.,Seekor landak sedang menggigit selimut.,0.68
Seekor kucing sedang menjilati dirinya sendiri.,Seorang pria sedang mengiris bawang putih dengan alat pengiris mandolin.,0.0
Seekor marmut kecil sedang menggerogoti dan memakan sepotong wortel di lantai.,Seekor marmut memakan wortel.,0.7
Empat anak laki-laki berdiri di depan mobil yang terbakar.,Empat orang pemuda berdiri diam saat sebuah mobil meledak di belakang mereka.,0.75
Seorang pria sedang merokok.,Pria itu duduk dengan jasnya dan merokok.,0.8
Seorang wanita sedang menambahkan saus pada makanan.,Seseorang sedang memotong daun.,0.04
Tiga anak sedang menyantap makanan mereka.,Rusa melompati pagar.,0.0
Sebuah kapal selam sedang melewati air.,Seorang bayi sedang tertidur.,0.0
Seorang pria sedang berlari di jalan.,Seorang pria memainkan gitar.,0.16
Seseorang sedang mengiris bawang.,Seekor kucing sedang buang air besar di toilet.,0.0
Seekor musang sedang menggali tanah.,Seorang pria sedang memindahkan batu besar.,0.0
Seorang wanita sedang mengiris lada besar.,Seekor anjing sedang menggerakkan mulutnya.,0.0
